caldt,vwretx
12/31/2018,0.008523
1/2/2019,0.001447
1/3/2019,-0.024437
1/4/2019,0.034411
1/7/2019,0.007181
1/8/2019,0.009786
1/9/2019,0.004071
1/10/2019,0.004435
1/11/2019,-0.00019
1/14/2019,-0.005205
1/15/2019,0.010867
1/16/2019,0.002317
1/17/2019,0.007592
1/18/2019,0.013028
1/22/2019,-0.014165
1/23/2019,0.002238
1/24/2019,0.001335
1/25/2019,0.008439
1/28/2019,-0.007767
1/29/2019,-0.001602
1/30/2019,0.015471
1/31/2019,0.008829
2/1/2019,0.000405
2/4/2019,0.006805
2/5/2019,0.004863
2/6/2019,-0.002272
2/7/2019,-0.009219
2/8/2019,0.000582
2/11/2019,0.000701
2/12/2019,0.01295
2/13/2019,0.003042
2/14/2019,-0.002648
2/15/2019,0.010769
2/19/2019,0.001681
2/20/2019,0.001644
2/21/2019,-0.003535
2/22/2019,0.006143
2/25/2019,0.001182
2/26/2019,-0.000798
2/27/2019,-0.000489
2/28/2019,-0.002608
3/1/2019,0.006842
3/4/2019,-0.003794
3/5/2019,-0.001095
3/6/2019,-0.006581
3/7/2019,-0.008218
3/8/2019,-0.002097
3/11/2019,0.014615
3/12/2019,0.002895
3/13/2019,0.006934
3/14/2019,-0.000895
3/15/2019,0.004951
3/18/2019,0.003862
3/19/2019,0.000006
3/20/2019,-0.002971
3/21/2019,0.010912
3/22/2019,-0.019034
3/25/2019,-0.00079
3/26/2019,0.007088
3/27/2019,-0.004697
3/28/2019,0.003572
3/29/2019,0.006696
4/1/2019,0.01151
4/2/2019,0.000035
4/3/2019,0.002156
4/4/2019,0.002128
4/5/2019,0.004651
4/8/2019,0.001087
4/9/2019,-0.0061
4/10/2019,0.003546
4/11/2019,0.000016
4/12/2019,0.006537
4/15/2019,-0.000558
4/16/2019,0.000529
4/17/2019,-0.002202
4/18/2019,0.001555
4/22/2019,0.001011
4/23/2019,0.008914
4/24/2019,-0.002134
4/25/2019,-0.000425
4/26/2019,0.004724
4/29/2019,0.001008
4/30/2019,0.000859
5/1/2019,-0.007588
5/2/2019,-0.002096
5/3/2019,0.009752
5/6/2019,-0.004296
5/7/2019,-0.016488
5/8/2019,-0.001618
5/9/2019,-0.003034
5/10/2019,0.003744
5/13/2019,-0.024261
5/14/2019,0.008091
5/15/2019,0.005915
5/16/2019,0.008954
5/17/2019,-0.005925
5/20/2019,-0.006692
5/21/2019,0.008425
5/22/2019,-0.002713
5/23/2019,-0.011998
5/24/2019,0.001404
5/28/2019,-0.008267
5/29/2019,-0.006907
5/30/2019,0.002005
5/31/2019,-0.013224
6/3/2019,-0.003849
6/4/2019,0.02141
6/5/2019,0.008167
6/6/2019,0.006142
6/7/2019,0.010619
6/10/2019,0.004887
6/11/2019,-0.000381
6/12/2019,-0.001945
6/13/2019,0.004069
6/14/2019,-0.001621
6/17/2019,0.000947
6/18/2019,0.009624
6/19/2019,0.002991
6/20/2019,0.009525
6/21/2019,-0.001234
6/24/2019,-0.001748
6/25/2019,-0.009528
6/26/2019,-0.001157
6/27/2019,0.003761
6/28/2019,0.005712
7/1/2019,0.007695
7/2/2019,0.002971
7/3/2019,0.007689
7/5/2019,-0.001749
7/8/2019,-0.004782
7/9/2019,0.001327
7/10/2019,0.004565
7/11/2019,0.00227
7/12/2019,0.004641
7/15/2019,0.000259
7/16/2019,-0.003386
7/17/2019,-0.006422
7/18/2019,0.003502
7/19/2019,-0.006164
7/22/2019,0.002822
7/23/2019,0.006845
7/24/2019,0.004643
7/25/2019,-0.005346
7/26/2019,0.007455
7/29/2019,-0.001822
7/30/2019,-0.002603
7/31/2019,-0.01095
8/1/2019,-0.008965
8/2/2019,-0.007349
8/5/2019,-0.029861
8/6/2019,0.012984
8/7/2019,0.000886
8/8/2019,0.018645
8/9/2019,-0.006728
8/12/2019,-0.012135
8/13/2019,0.014928
8/14/2019,-0.029275
8/15/2019,0.002756
8/16/2019,0.014337
8/19/2019,0.012064
8/20/2019,-0.007986
8/21/2019,0.008207
8/22/2019,-0.000546
8/23/2019,-0.025942
8/26/2019,0.010984
8/27/2019,-0.003159
8/28/2019,0.00649
8/29/2019,0.012653
8/30/2019,0.000633
9/3/2019,-0.006751
9/4/2019,0.010823
9/5/2019,0.012985
9/6/2019,0.000843
9/9/2019,0.000027
9/10/2019,0.000269
9/11/2019,0.007203
9/12/2019,0.002872
9/13/2019,-0.000748
9/16/2019,-0.003224
9/17/2019,0.002616
9/18/2019,0.000331
9/19/2019,0.000082
9/20/2019,-0.004929
9/23/2019,-0.000063
9/24/2019,-0.00843
9/25/2019,0.006205
9/26/2019,-0.002507
9/27/2019,-0.00529
9/30/2019,0.005073
10/1/2019,-0.012271
10/2/2019,-0.017947
10/3/2019,0.007867
10/4/2019,0.014218
10/7/2019,-0.004481
10/8/2019,-0.015394
10/9/2019,0.009097
10/10/2019,0.006434
10/11/2019,0.010999
10/14/2019,-0.001421
10/15/2019,0.009906
10/16/2019,-0.001909
10/17/2019,0.002815
10/18/2019,-0.00397
10/21/2019,0.00689
10/22/2019,-0.003566
10/23/2019,0.002825
10/24/2019,0.001984
10/25/2019,0.003935
10/28/2019,0.005625
10/29/2019,-0.000971
10/30/2019,0.003278
10/31/2019,-0.002978
11/1/2019,0.009565
11/4/2019,0.003692
11/5/2019,-0.001148
11/6/2019,0.000754
11/7/2019,0.002741
11/8/2019,0.002516
11/11/2019,-0.002018
11/12/2019,0.0015
11/13/2019,0.000741
11/14/2019,0.000786
11/15/2019,0.007487
11/18/2019,0.000578
11/19/2019,-0.00058
11/20/2019,-0.003791
11/21/2019,-0.001618
11/22/2019,0.002187
11/25/2019,0.007535
11/26/2019,0.002239
11/27/2019,0.004156
11/29/2019,-0.004028
12/2/2019,-0.00862
